Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose
20250923 10:46:00 America/New_York,222.8400,222.8500,222.8100,222.8200,46.0000000000000000,222.8330000000000000,28,227.9000
20250923 10:46:05 America/New_York,222.8300,222.8700,222.8200,222.8500,40.0000000000000000,222.8380000000000000,25,227.9000
20250923 10:46:10 America/New_York,222.8300,222.8600,222.7800,222.8100,51.0000000000000000,222.8240000000000000,26,227.9000
20250923 10:46:15 America/New_York,222.8100,222.8400,222.7900,222.8100,48.0000000000000000,222.8220000000000000,42,227.9000
20250923 10:46:20 America/New_York,222.8100,222.8300,222.7900,222.8000,99.0000000000000000,222.8200000000000000,55,227.9000
20250923 10:46:25 America/New_York,222.7900,222.7900,222.7500,222.7500,42.0000000000000000,222.7740000000000000,27,227.9000
20250923 10:46:30 America/New_York,222.7800,222.7800,222.7500,222.7500,22.0000000000000000,222.7580000000000000,17,227.9000
20250923 10:46:35 America/New_York,222.7600,222.7800,222.7300,222.7700,51.0000000000000000,222.7480000000000000,31,227.9000
20250923 10:46:40 America/New_York,222.7600,222.7600,222.7100,222.7100,38.0000000000000000,222.7230000000000000,23,227.9000
20250923 10:46:45 America/New_York,222.7200,222.7200,222.6600,222.6700,32.0000000000000000,222.6970000000000000,20,227.9000
20250923 10:46:50 America/New_York,222.6700,222.6800,222.6500,222.6700,45.0000000000000000,222.6600000000000000,24,227.9000
20250923 10:46:55 America/New_York,222.6600,222.6700,222.6300,222.6500,27.0000000000000000,222.6490000000000000,15,227.9000
20250923 10:47:00 America/New_York,222.6500,222.7200,222.6500,222.7200,77.0000000000000000,222.6890000000000000,65,227.9000
20250923 10:47:05 America/New_York,222.7200,222.7600,222.7200,222.7600,22.0000000000000000,222.7350000000000000,14,227.9000
20250923 10:47:10 America/New_York,222.7500,222.8200,222.7500,222.8200,23.0000000000000000,222.7970000000000000,16,227.9000
20250923 10:47:15 America/New_York,222.8400,222.8400,222.7900,222.8000,55.0000000000000000,222.8050000000000000,17,227.9000
20250923 10:47:20 America/New_York,222.8100,222.8100,222.7100,222.7200,38.0000000000000000,222.7480000000000000,22,227.9000
20250923 10:47:25 America/New_York,222.7400,222.7400,222.7100,222.7100,5.0000000000000000,222.7240000000000000,5,227.9000
20250923 10:47:30 America/New_York,222.7300,222.7500,222.7200,222.7400,48.0000000000000000,222.7400000000000000,30,227.9000
20250923 10:47:35 America/New_York,222.7400,222.7500,222.6900,222.6900,44.0000000000000000,222.7230000000000000,25,227.9000
20250923 10:47:40 America/New_York,222.7100,222.7300,222.6600,222.6700,88.0000000000000000,222.7000000000000000,57,227.9000
20250923 10:47:45 America/New_York,222.6700,222.7200,222.6500,222.7200,104.0000000000000000,222.6960000000000000,72,227.9000
20250923 10:47:50 America/New_York,222.7000,222.7500,222.6900,222.7200,50.0000000000000000,222.7230000000000000,36,227.9000
20250923 10:47:55 America/New_York,222.7000,222.7700,222.7000,222.7700,18.0000000000000000,222.7490000000000000,16,227.9000
20250923 10:48:00 America/New_York,222.7600,222.7800,222.7300,222.7300,14.0000000000000000,222.7630000000000000,14,227.9000
20250923 10:48:05 America/New_York,222.7400,222.7400,222.6800,222.7000,32.0000000000000000,222.7070000000000000,22,227.9000
20250923 10:48:10 America/New_York,222.7200,222.7200,222.7000,222.7100,24.0000000000000000,222.7120000000000000,19,227.9000
20250923 10:48:15 America/New_York,222.7200,222.7300,222.7100,222.7200,35.0000000000000000,222.7200000000000000,25,227.9000
20250923 10:48:20 America/New_York,222.7200,222.7200,222.7000,222.7100,28.0000000000000000,222.7100000000000000,19,227.9000
