Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose,Bid,Ask,BidSize,AskSize,PutVol,CallVol,ShortableShares
20260306 15:27:20 America/New_York,396.6900,396.8600,396.6900,396.8000,202.000000000000000000,396.774069451309912893,57,405.5500,396.7800,396.8000,1,1,1277129,1736380,53071695
20260306 15:27:25 America/New_York,396.7800,396.8700,396.7700,396.7900,229.000000000000000000,396.810044759825302663,112,405.5500,396.7700,396.8000,4,1,1277278,1736775,53071565
20260306 15:27:30 America/New_York,396.7700,396.8100,396.6900,396.7700,281.000000000000000000,396.757790491396121979,95,405.5500,396.7800,396.8200,2,9,1277610,1736874,53071556
20260306 15:27:35 America/New_York,396.7800,396.8000,396.6900,396.7400,207.000000000000000000,396.745365060240999355,72,405.5500,396.7000,396.7400,6,1,1277913,1736983,53071456
20260306 15:27:40 America/New_York,396.7300,396.8000,396.6600,396.7400,248.000000000000000000,396.734139633286304161,100,405.5500,396.7400,396.7600,9,1,1278069,1737293,53071456
20260306 15:27:45 America/New_York,396.7300,396.8000,396.6900,396.7300,144.000000000000000000,396.751815507095898283,56,405.5500,396.7400,396.7800,12,5,1278284,1737377,53072976
20260306 15:27:50 America/New_York,396.7700,396.7700,396.6800,396.7300,160.000000000000000000,396.718963043817211656,56,405.5500,396.7000,396.7300,4,1,1278653,1737732,53072976
20260306 15:27:55 America/New_York,396.7300,396.7500,396.5000,396.5700,505.000000000000000000,396.570304199436122872,173,405.5500,396.5400,396.5800,11,2,1279515,1738067,53073272
20260306 15:28:00 America/New_York,396.5600,396.7400,396.5600,396.7100,362.000000000000000000,396.649980710939701112,145,405.5500,396.7200,396.7600,3,8,1279844,1738475,53074181
20260306 15:28:05 America/New_York,396.7200,396.7200,396.5800,396.6300,216.000000000000000000,396.643881046054218587,43,405.5500,396.5700,396.6100,2,8,1280092,1738602,53074019
20260306 15:28:10 America/New_York,396.5800,396.6400,396.5300,396.5900,327.000000000000000000,396.569544205222200617,106,405.5500,396.5600,396.5900,8,1,1280251,1738723,53073839
20260306 15:28:15 America/New_York,396.5800,396.7400,396.5600,396.6300,214.000000000000000000,396.668739789965002274,91,405.5500,396.6400,396.6900,6,17,1280376,1739326,53074164
20260306 15:28:20 America/New_York,396.6400,396.9400,396.6100,396.9100,260.000000000000000000,396.809526916802610685,98,405.5500,396.8900,396.9300,1,14,1280728,1740147,53074080
20260306 15:28:25 America/New_York,396.9100,396.9200,396.7100,396.7800,216.000000000000000000,396.810102795102807249,92,405.5500,396.7700,396.8000,7,1,1280841,1740269,53074080
20260306 15:28:30 America/New_York,396.7800,396.8100,396.6700,396.7400,160.000000000000000000,396.729747781410594598,63,405.5500,396.7000,396.7400,6,7,1281115,1740421,53074026
20260306 15:28:35 America/New_York,396.7200,396.7800,396.6900,396.7300,97.000000000000000000,396.725753283543724592,37,405.5500,396.7000,396.7400,1,4,1281185,1740482,53073926
20260306 15:28:40 America/New_York,396.7200,396.7400,396.5500,396.5800,206.000000000000000000,396.647597143202972347,70,405.5500,396.5600,396.5900,3,4,1281594,1740648,53073836
20260306 15:28:45 America/New_York,396.5800,396.6800,396.5700,396.6700,101.000000000000000000,396.633602668643391098,32,405.5500,396.6400,396.6700,1,3,1281632,1741016,53073756
20260306 15:28:50 America/New_York,396.6600,396.7200,396.6200,396.6400,138.000000000000000000,396.657445652173919370,45,405.5500,396.6400,396.6800,5,9,1281768,1741107,53074815
20260306 15:28:55 America/New_York,396.6700,396.7400,396.6000,396.6500,429.000000000000000000,396.660806939916199099,104,405.5500,396.6100,396.6400,9,5,1281845,1741198,53074920
20260306 15:29:00 America/New_York,396.6500,396.6700,396.5300,396.6500,406.000000000000000000,396.633629875722874658,105,405.5500,396.6300,396.6700,8,7,1282175,1741648,53072966
20260306 15:29:05 America/New_York,396.6700,396.8800,396.6500,396.8300,317.000000000000000000,396.791701708795983450,124,405.5500,396.8100,396.8500,1,6,1282622,1742092,53072570
20260306 15:29:10 America/New_York,396.8200,396.8400,396.6100,396.7000,265.000000000000000000,396.742659834524317830,102,405.5500,396.6600,396.7000,13,15,1283435,1742192,53072650
20260306 15:29:15 America/New_York,396.7100,396.7100,396.6300,396.6600,90.000000000000000000,396.666925843940191498,37,405.5500,396.7100,396.7400,1,2,1309235,1742696,53072950
20260306 15:29:20 America/New_York,396.6600,396.7200,396.5700,396.6900,106.000000000000000000,396.657330835869800012,51,405.5500,396.6800,396.7100,5,1,1309263,1742759,53072950
20260306 15:29:25 America/New_York,396.6900,396.7100,396.6200,396.7100,185.000000000000000000,396.663806764586979625,63,405.5500,396.6900,396.7200,2,3,1309387,1743056,53073074
20260306 15:29:30 America/New_York,396.6300,396.7200,396.5900,396.6500,239.000000000000000000,396.659608436880091631,71,405.5500,396.6300,396.6700,13,10,1309514,1743389,53073125
20260306 15:29:35 America/New_York,396.6500,396.7000,396.6100,396.7000,116.000000000000000000,396.662561947856090683,43,405.5500,396.6200,396.6400,2,2,1309603,1743600,53073175
20260306 15:29:40 America/New_York,396.7000,396.7000,396.6200,396.6700,213.000000000000000000,396.666710326277609511,95,405.5500,396.6300,396.6700,14,4,1309665,1743707,53073193
20260306 15:29:45 America/New_York,396.6700,396.7000,396.5800,396.7000,167.000000000000000000,396.627836021505402186,75,405.5500,396.6500,396.6800,3,2,1309778,1743893,53072653
20260306 15:29:50 America/New_York,396.7000,396.7800,396.6000,396.7800,209.000000000000000000,396.727348981293914676,76,405.5500,396.7500,396.7800,10,2,1309881,1744048,53072813
20260306 15:29:55 America/New_York,396.7600,396.7800,396.7000,396.7200,132.000000000000000000,396.746520998864923513,67,405.5500,396.7300,396.7700,5,6,1310047,1744185,53072851
20260306 15:30:00 America/New_York,396.7300,396.7600,396.4700,396.6200,433.000000000000000000,396.600769895695293599,178,405.5500,396.5600,396.6000,2,2,1310511,1744481,53073887
20260306 15:30:05 America/New_York,396.6000,396.7400,396.5200,396.6800,175.000000000000000000,396.647363481228694582,79,405.5500,396.6900,396.7300,5,1,1310640,1744622,53067625
20260306 15:30:10 America/New_York,396.7300,396.7700,396.5900,396.5900,164.000000000000000000,396.667802364352894529,70,405.5500,396.6000,396.6400,1,4,1311251,1744709,53067603
20260306 15:30:15 America/New_York,396.6400,396.8200,396.5700,396.7700,272.000000000000000000,396.741934152604471819,96,405.5500,396.7400,396.7700,3,1,1311722,1745034,53066967
20260306 15:30:20 America/New_York,396.7500,396.8200,396.6900,396.7400,261.000000000000000000,396.753701081236215487,114,405.5500,396.7400,396.7700,1,1,1311933,1745981,53066847
20260306 15:30:25 America/New_York,396.7600,396.9400,396.7400,396.8700,697.000000000000000000,396.865876048462325798,200,405.5500,396.8800,396.9100,1,7,1312145,1746398,53066673
20260306 15:30:30 America/New_York,396.8800,396.9900,396.7900,396.7900,281.000000000000000000,396.896763036537777225,112,405.5500,396.7800,396.8100,1,5,1312496,1747095,53066693
20260306 15:30:35 America/New_York,396.8100,396.8500,396.7300,396.8000,185.000000000000000000,396.800564385775885512,58,405.5500,396.8200,396.8400,1,1,1312961,1747504,53066623
20260306 15:30:40 America/New_York,396.8300,396.8800,396.7500,396.8300,339.000000000000000000,396.810734817216996362,98,405.5500,396.8600,396.9100,13,5,1313406,1747715,53066823
20260306 15:30:45 America/New_York,396.8600,396.9100,396.7700,396.8000,149.000000000000000000,396.876253978890872531,66,405.5500,396.7900,396.8100,2,1,1313578,1748029,53066823
20260306 15:30:50 America/New_York,396.8200,396.9800,396.8100,396.9800,225.000000000000000000,396.917330080940189418,68,405.5500,396.9100,396.9500,9,6,1314427,1748766,53066823
20260306 15:30:55 America/New_York,396.9700,396.9800,396.8800,396.9400,259.000000000000000000,396.950531484690884554,67,405.5500,396.9600,396.9900,4,6,1314887,1749140,53067031
20260306 15:31:00 America/New_York,396.9400,397.0600,396.8000,396.8900,465.000000000000000000,396.935195836463094565,151,405.5500,396.9100,396.9500,2,60,1315260,1749453,53067835
20260306 15:31:05 America/New_York,396.8800,396.9700,396.8600,396.8600,229.000000000000000000,396.919506927020790954,89,405.5500,396.8600,396.9000,1,7,1315463,1749645,53067933
20260306 15:31:10 America/New_York,396.9000,396.9300,396.7400,396.8300,339.000000000000000000,396.839277135067391100,129,405.5500,396.8000,396.8200,2,3,1315725,1750401,53068334
20260306 15:31:15 America/New_York,396.8400,396.8600,396.7900,396.7900,172.000000000000000000,396.830382211887808808,60,405.5500,396.7700,396.8100,9,1,1315959,1750544,53067984
20260306 15:31:20 America/New_York,396.7800,396.8800,396.7600,396.7800,115.000000000000000000,396.812308193870876494,50,405.5500,396.7700,396.8200,13,14,1316055,1750865,53068096
20260306 15:31:25 America/New_York,396.7900,396.8000,396.7100,396.7500,118.000000000000000000,396.752434433164182792,42,405.5500,396.7300,396.7700,6,3,1316160,1751015,53067696
20260306 15:31:30 America/New_York,396.7700,396.8300,396.6800,396.8200,166.000000000000000000,396.757539432176713490,68,405.5500,396.8100,396.8500,11,1,1316307,1751090,53067696
20260306 15:31:35 America/New_York,396.8400,396.8900,396.7800,396.8800,140.000000000000000000,396.839976847729303699,48,405.5500,396.8700,396.9000,1,14,1323928,1751275,53067696
