Timestamp,Open,High,Low,Close,Volume,WAP,Count,YesterdayClose,DataQualityFlags
20260102 11:02:30 America/New_York,441.8,442.5,441.61,441.75,2819.0,442.0468612983327,899,457.8,none
20260102 11:03:00 America/New_York,441.42,441.8,441.15,441.42,3168.0,441.51395864898984,891,457.8,none
20260102 11:03:30 America/New_York,441.32,441.56,441.13,441.5,2747.0,441.31694612304324,762,457.8,none
20260102 11:04:00 America/New_York,441.65,441.99,441.25,441.58,2653.0,441.6509268752356,708,457.8,none
20260102 11:04:30 America/New_York,441.36,441.7,441.1,441.6,2407.0,441.40169547154136,722,457.8,none
20260102 11:05:00 America/New_York,441.27,441.63,440.91,441.22,3000.0,441.17976699999997,945,457.8,none
20260102 11:05:30 America/New_York,441.56,441.99,441.06,441.86,2345.0,441.5199330490405,706,457.8,none
20260102 11:06:00 America/New_York,442.34,442.46,441.53,442.21,3546.0,442.04595262267344,1022,457.8,none
20260102 11:06:30 America/New_York,442.36,442.61,442.06,442.59,2822.0,442.30109213323874,833,457.8,none
20260102 11:07:00 America/New_York,442.46,442.78,442.22,442.3,2990.0,442.5213725752508,821,457.8,none
20260102 11:07:30 America/New_York,442.35,442.46,442.12,442.32,1521.0,442.32278566732407,509,457.8,none
20260102 11:08:00 America/New_York,442.52,442.6,442.22,442.34,1813.0,442.4393110865968,558,457.8,none
20260102 11:08:30 America/New_York,442.25,442.49,442.04,442.07,1486.0,442.21840847913865,498,457.8,none
20260102 11:09:00 America/New_York,442.39,442.55,441.9,442.28,2173.0,442.26908927749656,624,457.8,none
20260102 11:09:30 America/New_York,442.56,442.73,442.23,442.73,1898.0,442.447643308746,504,457.8,none
20260102 11:10:00 America/New_York,442.37,442.98,442.02,442.95,2243.0,442.4481667409719,639,457.8,none
20260102 11:10:30 America/New_York,442.86,442.98,442.53,442.74,1931.0,442.8307198342828,647,457.8,none
20260102 11:11:00 America/New_York,442.85,443.1,442.4,442.62,2538.0,442.8528762805358,811,457.8,none
20260102 11:11:30 America/New_York,441.8,442.7,441.53,441.73,2817.0,442.0415594604189,847,457.8,none
20260102 11:12:00 America/New_York,441.15,441.81,440.95,441.2,3788.0,441.2658798838437,1172,457.8,none
20260102 11:12:30 America/New_York,441.92,442.18,441.19,442.11,1905.0,441.7024446194226,568,457.8,none
20260102 11:13:00 America/New_York,442.62,442.65,442.07,442.47,2181.0,442.4043035304906,652,457.8,none
20260102 11:13:30 America/New_York,442.89,443.15,442.44,443.11,2274.0,442.80071328056295,744,457.8,none
20260102 11:14:00 America/New_York,443.28,443.37,443.09,443.27,2590.0,443.2505471042472,778,457.8,none
20260102 11:14:30 America/New_York,443.26,443.55,443.22,443.53,2213.0,443.3448698599186,687,457.8,none
20260102 11:15:00 America/New_York,443.82,444.1,443.42,443.9,3540.0,443.8062353107345,988,457.8,none
20260102 11:15:30 America/New_York,443.8,444.07,443.64,443.71,3022.0,443.8908077432164,792,457.8,none
20260102 11:16:00 America/New_York,443.63,443.83,443.35,443.6,3060.0,443.6210624183006,881,457.8,none
20260102 11:16:30 America/New_York,443.0,443.7,443.0,443.26,2234.0,443.2574301700985,750,457.8,none
20260102 11:17:00 America/New_York,443.44,443.6,443.24,443.31,1431.0,443.4434157931516,472,457.8,none
20260102 11:17:30 America/New_York,443.52,443.52,443.13,443.37,1429.0,443.2645794261721,446,457.8,none
20260102 11:18:00 America/New_York,442.43,443.49,442.3,442.49,2371.0,442.76984732180523,772,457.8,none
20260102 11:18:30 America/New_York,442.34,442.45,442.23,442.34,1194.0,442.3442512562814,407,457.8,none
20260102 11:19:00 America/New_York,442.35,442.42,442.12,442.41,1696.0,442.2989846698113,543,457.8,none
20260102 11:19:30 America/New_York,442.44,442.59,442.21,442.36,2033.0,442.3839237579931,515,457.8,none
20260102 11:20:00 America/New_York,442.04,442.69,441.91,441.97,2160.0,442.3085222222222,731,457.8,none
20260102 11:20:30 America/New_York,442.05,442.13,441.74,441.93,1733.0,441.92845874206586,542,457.8,none
20260102 11:21:00 America/New_York,442.3,442.38,441.79,442.19,1459.0,442.0457395476354,512,457.8,none
20260102 11:21:30 America/New_York,442.23,442.4,441.79,442.18,1584.0,442.02486553030303,487,457.8,none
20260102 11:22:00 America/New_York,442.77,442.86,442.17,442.81,2236.0,442.5516131484794,654,457.8,none
20260102 11:22:30 America/New_York,442.98,443.14,442.73,443.09,2130.0,442.95347183098585,660,457.8,none
20260102 11:23:00 America/New_York,443.16,443.32,442.97,443.25,2059.0,443.13687809616323,607,457.8,none
20260102 11:23:30 America/New_York,443.32,443.39,443.13,443.34,1664.0,443.2686658653846,540,457.8,none
20260102 11:24:00 America/New_York,443.46,443.62,443.2,443.54,1950.0,443.3947912820513,658,457.8,none
20260102 11:24:30 America/New_York,443.7,443.79,443.5,443.6,1714.0,443.68008518086344,546,457.8,none
20260102 11:25:00 America/New_York,443.64,443.9,443.62,443.85,1852.0,443.77732181425483,542,457.8,none
20260102 11:25:30 America/New_York,443.34,443.88,443.32,443.4,1642.0,443.63988733252137,478,457.8,none
20260102 11:26:00 America/New_York,443.82,443.85,443.36,443.71,1430.0,443.6027237762238,475,457.8,none
20260102 11:26:30 America/New_York,443.93,444.08,443.65,443.94,1755.0,443.90978461538464,594,457.8,none
20260102 11:27:00 America/New_York,444.03,444.24,443.9,444.1,2715.0,444.07361620626153,897,457.8,none
